id,name,latitude,longitude,rating,price_level,current_crowd
0,Cafe_0,25.046643,121.501071,4.9,1,99
1,Cafe_1,25.049536,121.580701,4.9,3,6
2,Cafe_2,25.021534,121.565134,3.3,2,54
3,Cafe_3,25.047035,121.575547,4.9,5,4
4,Cafe_4,25.025535,121.593343,4.9,4,27
5,Cafe_5,25.083477,121.564624,4.9,2,87
6,Cafe_6,25.028819,121.509109,4.7,5,90
7,Cafe_7,25.033168,121.533635,3.4,2,75
8,Cafe_8,25.089373,121.590744,3.7,1,68
9,Cafe_9,25.054669,121.54255,3.3,2,10
10,Cafe_10,25.074196,121.534708,3.5,3,94
11,Cafe_11,25.078454,121.529676,3.0,5,48
12,Cafe_12,25.086838,121.53333,5.0,2,39
13,Cafe_13,25.022713,121.566453,4.9,5,32
14,Cafe_14,25.020383,121.551169,3.6,1,4
15,Cafe_15,25.082257,121.521837,3.8,1,16
16,Cafe_16,25.09603,121.516302,3.4,2,38
17,Cafe_17,25.026598,121.506496,3.8,3,65
18,Cafe_18,25.049339,121.542232,4.9,3,76
19,Cafe_19,25.062367,121.54719,3.5,3,97
20,Cafe_20,25.085849,121.59131,4.6,5,80
21,Cafe_21,25.037825,121.580513,3.2,1,91
22,Cafe_22,25.062637,121.508102,3.3,3,44
23,Cafe_23,25.033787,121.584183,4.9,4,49
24,Cafe_24,25.089178,121.502374,4.4,4,61
25,Cafe_25,25.047023,121.578954,4.1,5,50
26,Cafe_26,25.08451,121.523121,3.2,3,52
27,Cafe_27,25.023319,121.501802,4.0,4,47
28,Cafe_28,25.048357,121.59635,4.6,2,55
29,Cafe_29,25.063575,121.534202,3.4,1,83
30,Cafe_30,25.095356,121.58785,4.0,2,7
31,Cafe_31,25.093747,121.518173,4.2,5,39
32,Cafe_32,25.098203,121.583327,3.5,5,20
33,Cafe_33,25.050167,121.577378,4.2,4,71
34,Cafe_34,25.089153,121.528868,4.4,4,90
35,Cafe_35,25.028199,121.569329,4.3,1,26
36,Cafe_36,25.02125,121.563144,4.9,4,89
37,Cafe_37,25.094088,121.597888,3.8,2,3
38,Cafe_38,25.077652,121.596054,4.9,3,99
39,Cafe_39,25.038349,121.546977,3.7,5,91
40,Cafe_40,25.031934,121.568239,3.2,2,90
41,Cafe_41,25.099738,121.599415,4.8,3,13
42,Cafe_42,25.055283,121.554272,3.6,3,87
43,Cafe_43,25.059718,121.561025,4.8,2,27
44,Cafe_44,25.055296,121.534434,4.7,5,63
45,Cafe_45,25.058371,121.524806,4.9,2,97
46,Cafe_46,25.025229,121.528153,3.7,2,77
47,Cafe_47,25.090844,121.523591,4.5,1,63
48,Cafe_48,25.026488,121.521997,3.8,2,70
49,Cafe_49,25.087504,121.566541,4.1,4,92
50,Cafe_50,25.085685,121.598256,3.5,1,52
51,Cafe_51,25.049467,121.598549,3.3,1,21
52,Cafe_52,25.058755,121.552624,4.0,4,29
53,Cafe_53,25.08245,121.513912,4.3,1,32
54,Cafe_54,25.021599,121.591215,4.8,5,26
55,Cafe_55,25.072849,121.545428,4.2,4,45
56,Cafe_56,25.098843,121.533783,3.7,2,59
57,Cafe_57,25.06161,121.56094,3.3,3,79
58,Cafe_58,25.08107,121.538866,3.9,2,56
59,Cafe_59,25.09426,121.50492,3.2,4,92
60,Cafe_60,25.0807,121.540764,4.7,5,13
