id,name,latitude,longitude,rating,current_crowd
0,Cafe_0,25.076642,121.585554,4.2,83
1,Cafe_1,25.034703,121.520185,4.7,31
2,Cafe_2,25.021395,121.576637,4.1,5
3,Cafe_3,25.091801,121.50039,3.9,63
4,Cafe_4,25.052871,121.540017,4.1,66
5,Cafe_5,25.030128,121.552835,4.7,77
6,Cafe_6,25.068835,121.596201,3.6,85
7,Cafe_7,25.078594,121.577172,4.2,1
8,Cafe_8,25.084644,121.571661,3.2,72
9,Cafe_9,25.036275,121.568329,3.6,21
10,Cafe_10,25.020859,121.525374,3.2,56
11,Cafe_11,25.02976,121.540764,4.2,53
12,Cafe_12,25.069157,121.543813,3.2,34
13,Cafe_13,25.086567,121.597442,4.3,53
14,Cafe_14,25.036573,121.54877,3.1,77
15,Cafe_15,25.088674,121.57573,3.7,8
16,Cafe_16,25.053507,121.508519,4.2,7
17,Cafe_17,25.074068,121.57507,3.1,70
18,Cafe_18,25.070154,121.595734,4.2,30
19,Cafe_19,25.079258,121.509166,3.7,65
20,Cafe_20,25.034158,121.570439,4.8,1
21,Cafe_21,25.02383,121.530163,4.1,13
22,Cafe_22,25.04617,121.517469,4.1,31
23,Cafe_23,25.054857,121.597487,3.1,44
24,Cafe_24,25.054061,121.56804,3.2,71
25,Cafe_25,25.061125,121.597247,4.1,79
26,Cafe_26,25.030694,121.510067,3.7,84
27,Cafe_27,25.039914,121.526603,4.6,35
28,Cafe_28,25.074401,121.579902,3.5,12
29,Cafe_29,25.029088,121.579421,4.7,65
30,Cafe_30,25.084174,121.572476,3.5,40
31,Cafe_31,25.050471,121.577796,4.9,60
32,Cafe_32,25.035108,121.534064,4.5,14
33,Cafe_33,25.068015,121.509026,3.2,23
34,Cafe_34,25.048857,121.504091,4.4,85
35,Cafe_35,25.091184,121.581497,4.7,67
36,Cafe_36,25.029983,121.589695,3.2,40
37,Cafe_37,25.058485,121.563579,3.5,31
38,Cafe_38,25.065331,121.577499,3.2,76
39,Cafe_39,25.076642,121.578471,3.9,31
40,Cafe_40,25.05637,121.593589,3.4,32
41,Cafe_41,25.079929,121.546235,3.5,53
42,Cafe_42,25.099759,121.537765,3.0,88
43,Cafe_43,25.062804,121.56243,3.4,94
44,Cafe_44,25.041563,121.554408,4.2,19
45,Cafe_45,25.053007,121.589269,4.2,11
46,Cafe_46,25.09863,121.549026,4.7,25
47,Cafe_47,25.07317,121.527297,4.1,71
48,Cafe_48,25.07272,121.594909,3.0,83
49,Cafe_49,25.028327,121.515445,4.9,4
50,Cafe_50,25.099394,121.536103,4.0,76
51,Cafe_51,25.069663,121.567601,4.8,83
52,Cafe_52,25.093847,121.545354,4.8,43
53,Cafe_53,25.084693,121.577281,3.2,37
54,Cafe_54,25.087085,121.506618,4.1,42
55,Cafe_55,25.077811,121.554885,4.9,10
56,Cafe_56,25.046738,121.555542,4.7,1
57,Cafe_57,25.091217,121.511234,5.0,49
58,Cafe_58,25.086776,121.568519,4.3,99
59,Cafe_59,25.037573,121.509442,3.6,90
60,Cafe_60,25.069461,121.560912,4.0,88
61,Cafe_61,25.027512,121.581688,3.8,96
62,Cafe_62,25.044884,121.534037,5.0,47
63,Cafe_63,25.041901,121.58674,4.5,54
64,Cafe_64,25.089996,121.526103,3.1,30
65,Cafe_65,25.095998,121.509155,3.9,52
66,Cafe_66,25.034176,121.529609,3.7,0
67,Cafe_67,25.021336,121.564372,3.9,62
